model,display_name,lab,family,release_date,condition_family,conditions,n_valid,eligible_cells,excluded_small_cells,owned_rate,relocated_or_partial_rate,recited_not_owned_rate,indeterminate_rate,uncodeable_rate,n_owned,n_relocated_or_partial,n_recited_not_owned,n_indeterminate,n_uncodeable,label
minimax-m2-7,minimax-m2.7,MiniMax,minimax,2026-03-18,cache_broken_stated_values,G1+G2,178,3,0,18.984674329501917,10.613026819923371,70.40229885057471,0.0,0.0,34,19,125,0,0,strongly_clamped
minimax-m2-7,minimax-m2.7,MiniMax,minimax,2026-03-18,world_change_prompts,CTRL3+G3,120,3,0,94.16666666666667,5.0,0.8333333333333334,0.0,0.0,113,6,1,0,0,strongly_open
opus-3,claude-3-opus-20240229,Anthropic,opus,2024-03-04,direct_stated_values,CTRL1+CTRL2,20,1,0,0.0,20.0,80.0,0.0,0.0,0,4,16,0,0,strongly_clamped
opus-3,claude-3-opus-20240229,Anthropic,opus,2024-03-04,cache_broken_stated_values,G1+G2,60,1,0,10.0,11.666666666666666,78.33333333333333,0.0,0.0,6,7,47,0,0,strongly_clamped
opus-3,claude-3-opus-20240229,Anthropic,opus,2024-03-04,world_change_prompts,CTRL3+G3,40,1,0,90.0,0.0,10.0,0.0,0.0,36,0,4,0,0,strongly_open
opus-4-0,claude-opus-4.0,Anthropic,opus,2025-05-22,direct_stated_values,CTRL1+CTRL2,20,1,0,100.0,0.0,0.0,0.0,0.0,20,0,0,0,0,strongly_open
opus-4-0,claude-opus-4.0,Anthropic,opus,2025-05-22,cache_broken_stated_values,G1+G2,60,1,0,98.33333333333333,0.0,1.6666666666666667,0.0,0.0,59,0,1,0,0,strongly_open
opus-4-0,claude-opus-4.0,Anthropic,opus,2025-05-22,world_change_prompts,CTRL3+G3,40,1,0,100.0,0.0,0.0,0.0,0.0,40,0,0,0,0,strongly_open
opus-4-1,claude-opus-4.1,Anthropic,opus,2025-08-05,direct_stated_values,CTRL1+CTRL2,20,1,0,100.0,0.0,0.0,0.0,0.0,20,0,0,0,0,strongly_open
opus-4-1,claude-opus-4.1,Anthropic,opus,2025-08-05,cache_broken_stated_values,G1+G2,60,1,0,100.0,0.0,0.0,0.0,0.0,60,0,0,0,0,strongly_open
opus-4-1,claude-opus-4.1,Anthropic,opus,2025-08-05,world_change_prompts,CTRL3+G3,40,1,0,100.0,0.0,0.0,0.0,0.0,40,0,0,0,0,strongly_open
opus-4-5,claude-opus-4.5,Anthropic,opus,2025-11-24,direct_stated_values,CTRL1+CTRL2,20,1,0,100.0,0.0,0.0,0.0,0.0,20,0,0,0,0,strongly_open
opus-4-5,claude-opus-4.5,Anthropic,opus,2025-11-24,cache_broken_stated_values,G1+G2,60,1,0,100.0,0.0,0.0,0.0,0.0,60,0,0,0,0,strongly_open
opus-4-5,claude-opus-4.5,Anthropic,opus,2025-11-24,world_change_prompts,CTRL3+G3,40,1,0,100.0,0.0,0.0,0.0,0.0,40,0,0,0,0,strongly_open
opus-4-6,claude-opus-4.6,Anthropic,opus,2026-02-04,direct_stated_values,CTRL1+CTRL2,40,2,0,70.0,20.0,10.0,0.0,0.0,28,8,4,0,0,strongly_open
opus-4-6,claude-opus-4.6,Anthropic,opus,2026-02-04,cache_broken_stated_values,G1+G2,120,2,0,100.0,0.0,0.0,0.0,0.0,120,0,0,0,0,strongly_open
opus-4-6,claude-opus-4.6,Anthropic,opus,2026-02-04,world_change_prompts,CTRL3+G3,80,2,0,100.0,0.0,0.0,0.0,0.0,80,0,0,0,0,strongly_open
opus-4-7,claude-opus-4.7,Anthropic,opus,2026-04-16,direct_stated_values,CTRL1+CTRL2,40,2,0,90.0,0.0,10.0,0.0,0.0,36,0,4,0,0,strongly_open
opus-4-7,claude-opus-4.7,Anthropic,opus,2026-04-16,cache_broken_stated_values,G1+G2,120,2,0,100.0,0.0,0.0,0.0,0.0,120,0,0,0,0,strongly_open
opus-4-7,claude-opus-4.7,Anthropic,opus,2026-04-16,world_change_prompts,CTRL3+G3,80,2,0,100.0,0.0,0.0,0.0,0.0,80,0,0,0,0,strongly_open
qwen3-6-plus,qwen/qwen3.6-plus,Qwen,qwen,2026-04-02,direct_stated_values,CTRL1+CTRL2,20,1,0,0.0,0.0,100.0,0.0,0.0,0,0,20,0,0,strongly_clamped
qwen3-6-plus,qwen/qwen3.6-plus,Qwen,qwen,2026-04-02,cache_broken_stated_values,G1+G2,60,1,0,0.0,18.333333333333332,73.33333333333333,8.333333333333334,0.0,0,11,44,5,0,strongly_clamped
qwen3-6-plus,qwen/qwen3.6-plus,Qwen,qwen,2026-04-02,world_change_prompts,CTRL3+G3,40,1,0,85.0,12.5,2.5,0.0,0.0,34,5,1,0,0,strongly_open
qwen3-coder-plus,qwen/qwen3-coder-plus,Qwen,qwen,2025-09-23,direct_stated_values,CTRL1+CTRL2,20,1,0,20.0,60.0,20.0,0.0,0.0,4,12,4,0,0,partially_open
qwen3-coder-plus,qwen/qwen3-coder-plus,Qwen,qwen,2025-09-23,cache_broken_stated_values,G1+G2,60,1,0,100.0,0.0,0.0,0.0,0.0,60,0,0,0,0,strongly_open
qwen3-coder-plus,qwen/qwen3-coder-plus,Qwen,qwen,2025-09-23,world_change_prompts,CTRL3+G3,40,1,0,100.0,0.0,0.0,0.0,0.0,40,0,0,0,0,strongly_open
sonnet-4-0,claude-sonnet-4.0,Anthropic,sonnet,2025-05-22,direct_stated_values,CTRL1+CTRL2,20,1,0,95.0,5.0,0.0,0.0,0.0,19,1,0,0,0,strongly_open
sonnet-4-0,claude-sonnet-4.0,Anthropic,sonnet,2025-05-22,cache_broken_stated_values,G1+G2,60,1,0,100.0,0.0,0.0,0.0,0.0,60,0,0,0,0,strongly_open
sonnet-4-0,claude-sonnet-4.0,Anthropic,sonnet,2025-05-22,world_change_prompts,CTRL3+G3,40,1,0,100.0,0.0,0.0,0.0,0.0,40,0,0,0,0,strongly_open
sonnet-4-5,claude-sonnet-4.5,Anthropic,sonnet,2025-09-29,direct_stated_values,CTRL1+CTRL2,20,1,0,50.0,15.0,35.0,0.0,0.0,10,3,7,0,0,partially_open
sonnet-4-5,claude-sonnet-4.5,Anthropic,sonnet,2025-09-29,cache_broken_stated_values,G1+G2,60,1,0,100.0,0.0,0.0,0.0,0.0,60,0,0,0,0,strongly_open
sonnet-4-5,claude-sonnet-4.5,Anthropic,sonnet,2025-09-29,world_change_prompts,CTRL3+G3,40,1,0,100.0,0.0,0.0,0.0,0.0,40,0,0,0,0,strongly_open
sonnet-4-6,claude-sonnet-4.6,Anthropic,sonnet,2026-02-17,direct_stated_values,CTRL1+CTRL2,40,2,0,50.0,0.0,50.0,0.0,0.0,20,0,20,0,0,partially_open
sonnet-4-6,claude-sonnet-4.6,Anthropic,sonnet,2026-02-17,cache_broken_stated_values,G1+G2,120,2,0,100.0,0.0,0.0,0.0,0.0,120,0,0,0,0,strongly_open
sonnet-4-6,claude-sonnet-4.6,Anthropic,sonnet,2026-02-17,world_change_prompts,CTRL3+G3,80,2,0,97.5,2.5,0.0,0.0,0.0,78,2,0,0,0,strongly_open
